word,pol
à-vontade,1
abafada,-1
abafadas,-1
abafado,-1
abafados,-1
abafante,-1
abafantes,-1
abaixada,-1
abaixadas,-1
abaixado,-1
abaixados,-1
abalada,-1
abaladas,-1
abalado,-1
abalados,-1
abalizada,1
abalizadas,1
abalizado,1
abalizados,1
abalroa,1
abalroá,1
abalroada,-1
abalroadas,-1
abalroado,-1
abalroados,-1
abalroai,1
abalroais,1
abalroam,1
abalroámo,1
abalroamo,1
abalroámos,1
abalroamos,1
abalroando,1
abalroar,1
abalroará,1
abalroara,1
abalroaram,1
abalroáramo,1
abalroáramos,1
abalroarão,1
abalroarás,1
abalroaras,1
abalroarde,1
abalroardes,1
abalroare,1
abalroarei,1
abalroárei,1
abalroareis,1
abalroáreis,1
abalroarem,1
abalroaremos,1
abalroares,1
abalroaria,1
abalroariam,1
abalroaríamos,1
abalroarias,1
abalroaríeis,1
abalroarmo,1
abalroarmos,1
abalroas,1
abalroasse,1
abalroásseis,1
abalroassem,1
abalroássemos,1
abalroasses,1
abalroaste,1
abalroastes,1
abalroava,1
abalroavam,1
abalroávamo,1
abalroávamos,1
abalroavas,1
abalroávei,1
abalroáveis,1
abalroe,1
abalroei,1
abalroeis,1
abalroem,1
abalroemo,1
abalroemos,1
abalroes,1
abalroo,1
abalroou,1
abana,1
abaná,1
abanado,1
abanai,1
abanais,1
abanam,1
abanámo,1
abanamo,1
abanámos,1
abanamos,1
abanando,1
abanar,1
abanará,1
abanara,1
abanaram,1
abanáramo,1
abanáramos,1
abanarão,1
abanarás,1
abanaras,1
abanarde,1
abanardes,1
abanare,1
abanarei,1
abanárei,1
abanareis,1
abanáreis,1
abanarem,1
abanaremos,1
abanares,1
abanaria,1
abanariam,1
abanaríamos,1
abanarias,1
abanaríeis,1
abanarmo,1
abanarmos,1
abanas,1
abanasse,1
abanásseis,1
abanassem,1
abanássemos,1
abanasses,1
abanaste,1
abanastes,1
abanava,1
abanavam,1
abanávamo,1
abanávamos,1
abanavas,1
abanávei,1
abanáveis,1
abandalhada,-1
abandalhadas,-1
abandalhado,-1
abandalhados,-1
abandalhamento,-1
abandona,-1
abandoná,-1
abandonada,-1
abandonadas,-1
abandonado,-1
abandonados,-1
abandonai,-1
abandonais,-1
abandonam,-1
abandonámo,-1
abandonamo,-1
abandonámos,-1
abandonamos,-1
abandonando,-1
abandonar,-1
abandonará,-1
abandonara,-1
abandonaram,-1
abandonáramo,-1
abandonáramos,-1
abandonarão,-1
abandonarás,-1
abandonaras,-1
abandonarde,-1
abandonardes,-1
abandonare,-1
abandonarei,-1
abandonárei,-1
abandonareis,-1
abandonáreis,-1
abandonarem,-1
abandonaremos,-1
abandonares,-1
abandonaria,-1
abandonariam,-1
abandonaríamos,-1
abandonarias,-1
abandonaríeis,-1
abandonarmo,-1
abandonarmos,-1
abandonas,-1
abandonasse,-1
abandonásseis,-1
abandonassem,-1
abandonássemos,-1
abandonasses,-1
abandonaste,-1
abandonastes,-1
abandonava,-1
abandonavam,-1
abandonávamo,-1
abandonávamos,-1
abandonavas,-1
abandonávei,-1
abandonáveis,-1
abandone,-1
abandonei,-1
abandoneis,-1
abandonem,-1
abandonemo,-1
abandonemos,-1
abandones,-1
abandono,-1
abandonou,-1
abane,1
abanei,1
abaneis,1
abanem,1
abanemo,1
abanemos,1
abanes,1
abano,1
abanou,1
abarcante,0
abarcantes,0
abarrotada,-1
abarrotadas,-1
abarrotado,-1
abarrotados,-1
abastada,1
abastadas,1
abastado,1
abastados,1
abastecida,0
abastecidas,0
abastecido,0
abastecidos,0
abata,1
abatais,1
abatam,1
abatamo,1
abatamos,1
abatas,1
abate,1
abatê,1
abatei,1
abateis,1
abatem,1
abatemo,1
abatemos,1
abatendo,1
abater,1
abaterá,1
abatera,1
abateram,1
abatêramo,1
abatêramos,1
abaterão,1
abaterás,1
abateras,1
abaterde,1
abaterdes,1
abatere,1
abaterei,1
abatêrei,1
abatereis,1
abatêreis,1
abaterem,1
abateremos,1
abateres,1
abateria,1
abateriam,1
abateríamos,1
abaterias,1
abateríeis,1
abatermo,1
abatermos,1
abates,1
abatesse,1
abatêsseis,1
abatessem,1
abatêssemos,1
abatesses,1
abateste,1
abatestes,1
abateu,1
abati,1
abatia,1
abatiam,1
abatíamo,1
abatíamos,1
abatias,1
abatida,-1
abatidas,-1
abatido,1
abatidos,-1
abatíei,1
abatíeis,1
abato,1
abelhuda,-1
abelhudas,-1
abelhudo,-1
abelhudos,-1
abençoada,1
abençoadas,1
abençoado,1
abençoados,1
aberração,-1
aberrante,-1
aberrantes,-1
aberrativa,-1
aberrativas,-1
aberrativo,-1
aberrativos,-1
aberta,1
abertas,1
aberto a alma,1
aberto o coração,1
aberto os olhos,1
aberto,1
abertos,1
abespinhada,-1
abespinhadas,-1
abespinhado,-1
abespinhados,-1
abestalhada,-1
abestalhadas,-1
abestalhado,-1
abestalhados,-1
abilolada,-1
abiloladas,-1
abilolado,-1
abilolados,-1
abjeção,-1
abjecção,-1
abjecta,-1
abjectas,-1
abjecto,-1
abjectos,-1
abjeta,-1
abjetas,-1
abjeto,-1
abjetos,-1
abnegada,1
abnegadas,1
abnegado,1
abnegados,1
abobada,-1
abobadas,-1
abobado,-1
abobados,-1
abobalhada,-1
abobalhadas,-1
abobalhado,-1
abobalhados,-1
abolicionista,0
abolicionistas,0
abolida,-1
abolidas,-1
abolido,-1
abolidos,-1
abomina,0
abominá,0
abominado,0
abominador,-1
abominadora,-1
abominadoras,-1
abominadores,-1
abominai,0
abominais,0
abominam,0
abominámo,0
abominamo,0
abominámos,0
abominamos,0
abominanda,-1
abominandas,-1
abominando,-1
abominandos,-1
abominar,0
abominará,0
abominara,0
abominaram,0
abomináramo,0
abomináramos,0
abominarão,0
abominarás,0
abominaras,0
abominarde,0
abominardes,0
abominare,0
abominarei,0
abominárei,0
abominareis,0
abomináreis,0
abominarem,0
abominaremos,0
abominares,0
abominaria,0
abominariam,0
abominaríamos,0
abominarias,0
abominaríeis,0
abominarmo,0
abominarmos,0
abominas,0
abominasse,0
abominásseis,0
abominassem,0
abominássemos,0
abominasses,0
abominaste,0
abominastes,0
abominava,0
abominavam,0
abominávamo,0
abominávamos,0
abominavas,0
abominávei,0
abomináveis,0
abominável,-1
abomine,0
abominei,0
abomineis,0
abominem,0
abominemo,0
abominemos,0
abomines,0
abomino,0
abominou,0
abonada,1
abonadas,1
abonado,1
abonados,1
abonatória,1
abonatórias,1
abonatório,1
abonatórios,1
abonecada,0
abonecadas,0
abonecado,0
abonecados,0
aborreça,-1
aborreçais,-1
aborreçam,-1
aborreçamo,-1
aborreçamos,-1
aborreças,-1
aborrecê,-1
aborrece,-1
aborrecei,-1
aborreceis,-1
aborrecem,-1
aborrecemo,-1
aborrecemos,-1
aborrecendo,-1
aborrecer,-1
aborrecerá,-1
aborrecera,-1
aborreceram,-1
aborrecêramo,-1
aborrecêramos,-1
aborrecerão,-1
aborrecerás,-1
aborreceras,-1
aborrecerde,-1
aborrecerdes,-1
aborrecere,-1
aborrecerei,-1
aborrecêrei,-1
aborrecereis,-1
aborrecêreis,-1
aborrecerem,-1
aborreceremos,-1
aborreceres,-1
aborreceria,-1
aborreceriam,-1
aborreceríamos,-1
aborrecerias,-1
aborreceríeis,-1
aborrecermo,-1
aborrecermos,-1
aborreces,-1
aborrecesse,-1
aborrecêsseis,-1
aborrecessem,-1
aborrecêssemos,-1
aborrecesses,-1
aborreceste,-1
aborrecestes,-1
aborreceu,-1
aborreci,-1
aborrecia,-1
aborreciam,-1
aborrecíamo,-1
aborrecíamos,-1
aborrecias,-1
aborrecida,-1
aborrecidas,-1
aborrecido,-1
aborrecidos,-1
aborrecíei,-1
aborrecíeis,-1
aborreço,-1
abortada,-1
abortadas,-1
abortado,-1
abortados,-1
abra a alma,1
abra o coração,1
abra os olhos,1
abraçada,1
abraçadas,1
abraçado,1
abraçados,1
abrais a alma,1
abrais o coração,1
abrais os olhos,1
abram a alma,1
abram o coração,1
abram os olhos,1
abramos a alma,1
abramos o coração,1
abramos os olhos,1
abras a alma,1
abras o coração,1
abras os olhos,1
abrasileirada,0
abrasileiradas,0
abrasileirado,0
abrasileirados,0
abre a alma,1
abre o coração,1
abre os olhos,1
abrem a alma,1
abrem o coração,1
abrem os olhos,1
abres a alma,1
abres o coração,1
abres os olhos,1
abri a alma,1
abri o coração,1
abri os olhos,1
abria a alma,1
abria o coração,1
abria os olhos,1
abriam a alma,1
abriam o coração,1
abriam os olhos,1
abríamos a alma,1
abríamos o coração,1
abríamos os olhos,1
abrias a alma,1
abrias o coração,1
abrias os olhos,1
abríeis a alma,1
abríeis o coração,1
abríeis os olhos,1
abrigada,0
abrigadas,0
abrigado,0
abrigados,0
abrilhantada,1
abrilhantadas,1
abrilhantado,1
abrilhantados,1
abrimos a alma,1
abrimos o coração,1
abrimos os olhos,1
abrindo a alma,1
abrindo o coração,1
abrindo os olhos,1
abrir a alma,1
abrir o coração,1
abrir os olhos,1
abrirá a alma,1
abrira a alma,1
abrirá o coração,1
abrira o coração,1
abrirá os olhos,1
abrira os olhos,1
abriram a alma,1
abriram o coração,1
abriram os olhos,1
abríramos a alma,1
abríramos o coração,1
abríramos os olhos,1
abrirão a alma,1
abrirão o coração,1
abrirão os olhos,1
abrirás a alma,1
abriras a alma,1
abrirás o coração,1
abriras o coração,1
abrirás os olhos,1
abriras os olhos,1
abrirdes a alma,1
abrirdes o coração,1
abrirdes os olhos,1
abrirei a alma,1
abrirei o coração,1
abrirei os olhos,1
abrireis a alma,1
abríreis a alma,1
abrireis o coração,1
abríreis o coração,1
abrireis os olhos,1
abríreis os olhos,1
abrirem a alma,1
abrirem o coração,1
abrirem os olhos,1
abriremos a alma,1
abriremos o coração,1
abriremos os olhos,1
abrires a alma,1
abrires o coração,1
abrires os olhos,1
abriria a alma,1
abriria o coração,1
abriria os olhos,1
abririam a alma,1
abririam o coração,1
abririam os olhos,1
abriríamos a alma,1
abriríamos o coração,1
abriríamos os olhos,1
abririas a alma,1
abririas o coração,1
abririas os olhos,1
abriríeis a alma,1
abriríeis o coração,1
abriríeis os olhos,1
abrirmos a alma,1
abrirmos o coração,1
abrirmos os olhos,1
abris a alma,1
abris o coração,1
abris os olhos,1
